# Forces      
# CofR        : (2.929541e+00 0.000000e+00 2.000000e-01)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
1.80783       	((-3.861139e-02 9.207476e+00 6.705478e+00) (-3.219960e-02 -2.738240e-03 -1.155633e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.112006e+00 1.964693e+01 -2.694640e+01) (-6.320110e-04 7.829145e-03 6.947962e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
1.83944       	((-3.570109e-02 9.209504e+00 6.706200e+00) (-3.217370e-02 -2.800824e-03 -1.088494e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.112470e+00 1.964903e+01 -2.695448e+01) (-6.460017e-04 7.853949e-03 7.130351e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
1.87495       	((-3.407904e-02 9.223563e+00 6.711657e+00) (-3.210352e-02 -2.771664e-03 -5.210433e-05) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.115598e+00 1.966530e+01 -2.699706e+01) (-6.440095e-04 8.003271e-03 7.032348e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
1.91401       	((-3.188696e-02 9.234773e+00 6.716318e+00) (-3.221441e-02 -2.770396e-03 -1.116671e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.118036e+00 1.967909e+01 -2.703170e+01) (-6.425232e-04 7.853432e-03 7.009035e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
1.95259       	((-2.820864e-02 9.246153e+00 6.721461e+00) (-3.211531e-02 -2.833856e-03 -1.696877e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.120567e+00 1.969412e+01 -2.706770e+01) (-6.561008e-04 7.632376e-03 7.198097e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
1.99166       	((-2.619798e-02 9.260032e+00 6.728348e+00) (-3.204058e-02 -2.819955e-03 -4.619203e-05) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.123570e+00 1.971457e+01 -2.711010e+01) (-6.574323e-04 7.976655e-03 7.185776e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
2.02974       	((-2.381471e-02 9.270759e+00 6.733189e+00) (-3.202629e-02 -2.831517e-03 -3.362868e-05) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.125919e+00 1.972869e+01 -2.714322e+01) (-6.598522e-04 8.008240e-03 7.197219e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
2.06349       	((-2.122596e-02 9.284391e+00 6.740515e+00) (-3.202078e-02 -2.808820e-03 -1.276588e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.128872e+00 1.975028e+01 -2.718526e+01) (-6.539273e-04 7.718005e-03 7.130491e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
2.09146       	((-2.093862e-02 9.293239e+00 6.743852e+00) (-3.199300e-02 -2.864693e-03 -1.610442e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.130726e+00 1.976028e+01 -2.721150e+01) (-6.641036e-04 7.605875e-03 7.303716e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
2.12307       	((-1.837818e-02 9.296395e+00 6.747712e+00) (-3.200319e-02 -2.833666e-03 -2.351825e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.131418e+00 1.977138e+01 -2.722258e+01) (-6.567390e-04 7.385508e-03 7.196939e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
2.15816       	((-1.741947e-02 9.308156e+00 6.752788e+00) (-3.196170e-02 -2.784392e-03 -2.726314e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.133908e+00 1.978643e+01 -2.725784e+01) (-6.450136e-04 7.258795e-03 7.050534e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
2.19324       	((-1.773391e-02 9.315615e+00 6.756630e+00) (-3.194937e-02 -2.810073e-03 -3.643537e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.135413e+00 1.979782e+01 -2.727954e+01) (-6.457306e-04 6.972003e-03 7.132582e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
2.23222       	((-1.564834e-02 9.312102e+00 6.758490e+00) (-3.182243e-02 -2.713889e-03 -4.294698e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.134665e+00 1.980314e+01 -2.727075e+01) (-6.263922e-04 6.737952e-03 6.842453e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
2.27234       	((-1.670039e-02 9.314832e+00 6.759473e+00) (-3.193015e-02 -2.725813e-03 -4.607798e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.135174e+00 1.980617e+01 -2.727799e+01) (-6.266085e-04 6.669704e-03 6.886756e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
2.31075       	((-1.670225e-02 9.311933e+00 6.759865e+00) (-3.184538e-02 -2.747796e-03 -4.997577e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.134482e+00 1.980734e+01 -2.726953e+01) (-6.282002e-04 6.536020e-03 6.937550e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
2.34614       	((-1.618720e-02 9.305588e+00 6.759445e+00) (-3.182103e-02 -2.668504e-03 -5.509076e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.133114e+00 1.980609e+01 -2.725132e+01) (-6.110336e-04 6.370109e-03 6.717350e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
2.3753        	((-1.805184e-02 9.304167e+00 6.757781e+00) (-3.172406e-02 -2.731433e-03 -5.067079e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.132758e+00 1.980134e+01 -2.724582e+01) (-6.239774e-04 6.471781e-03 6.901274e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
2.4077        	((-1.762984e-02 9.291824e+00 6.754525e+00) (-3.170271e-02 -2.724064e-03 -5.088479e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.130047e+00 1.979169e+01 -2.720994e+01) (-6.234341e-04 6.468202e-03 6.882454e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
2.44371       	((-1.944067e-02 9.282418e+00 6.751011e+00) (-3.170326e-02 -2.714276e-03 -4.831176e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.127981e+00 1.978140e+01 -2.718109e+01) (-6.209553e-04 6.548275e-03 6.844740e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
2.4813        	((-2.095213e-02 9.274224e+00 6.747564e+00) (-3.178864e-02 -2.660408e-03 -5.723830e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.126116e+00 1.977121e+01 -2.715586e+01) (-6.055842e-04 6.299507e-03 6.700890e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
